Name,Price,Adress,img_link
Poules Bleu Hollande,5000,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_4877982_uploaded_image1_1722858918.jpg
Blond Panoramin,40000,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_1654385_uploaded_image1_1581775358.47.png
Lapin,80000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4296184_uploaded_image1_1689472721.jpg
Paon - pigeon,35000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2323541_uploaded_image1_1592764212.jpg
Coq Orpington Fauve,35000,"Louga, Sénégal",https://images.coinafrique.com/thumb_1699722_uploaded_image1_1582581938.31.png
Pigeons,65000,"Dakar-Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_1712742_uploaded_image1_1582798028.37.png
Poussin Orpington,5000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_1716103_uploaded_image1_1582837127.36.png
Coq,25000,"Les Parcelles Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_1723625_uploaded_image1_1582972350.31.png
Lapin Angora,25000,"Thies Nord, Thiès, Sénégal",https://images.coinafrique.com/thumb_1732205_uploaded_image1_1583152160.0.png
Males Bantam de Pékin,15000,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_1480111_uploaded_image1_1579028647.6.png
Pigeon texan paon indien,60000,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_1804515_uploaded_image1_1584398280.63.png
Pigeon texan - Paon indien,60000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_1804522_uploaded_image1_1584398352.13.png
Paon indien,30000,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_1804679_uploaded_image1_1584402291.56.png
Poulets de chair,1500,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_4696598_uploaded_image1_1713352074.jpg
Cop Brahma,40000,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_1812172_uploaded_image1_1584528622.9.png
Pigeons voyageurs,2000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_3829942_uploaded_image1_1660489290.jpg
Pigeons voyageurs,2000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_3829942_uploaded_image1_1660489290.jpg
Poulets de chairs,3500,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_4612683_uploaded_image1_1708957200.jpg
Pigeon Boulan,15000,"Louga, Sénégal",https://images.coinafrique.com/thumb_4277905_uploaded_image1_1688318584.jpg
Poulets de chair,4000,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_4283570_uploaded_image1_1688648209.jpg
Paon - pigeon,35000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2323541_uploaded_image1_1592764212.jpg
Pigeon Laor,60000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3058782_uploaded_image1_1618401720.jpg
Pigeons King mâle,35000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4704120_uploaded_image1_1713750109.jpg
Coq Orpitone,30000,"Mermoz-Sacré-Cœur, Dakar, Sénégal",https://images.coinafrique.com/thumb_1890489_uploaded_image1_1585937996.82.png
Poulets,2500,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4767951_uploaded_image1_1716976720.jpg
Lapin,19999,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_4276819_uploaded_image1_1688227845.jpg
Poulets,2500,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4767951_uploaded_image1_1716976720.jpg
Poulet de chair,3500,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4509252_uploaded_image1_1703175319.jpg
Poulets,2500,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4767951_uploaded_image1_1716976720.jpg
Poulets,2500,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4767951_uploaded_image1_1716976720.jpg
Poulets de chair,2500,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_1988804_uploaded_image1_1587553659.jpg
Couple Laor,50000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_1995210_uploaded_image1_1587646147.jpg
Couple Laor,50000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_1995210_uploaded_image1_1587646147.jpg
Couple Laor,50000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_1995210_uploaded_image1_1587646147.jpg
Oie,35000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_1997244_uploaded_image1_1587667066.jpg
Lapin Angoura,20000,"Point E, Dakar, Sénégal",https://images.coinafrique.com/thumb_1997332_uploaded_image1_1587667962.jpg
Poulets,2500,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4767951_uploaded_image1_1716976720.jpg
Poulets,2500,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4767951_uploaded_image1_1716976720.jpg
Couple Pigeon Cravate,30000,"Cambérène, Dakar, Sénégal",https://images.coinafrique.com/thumb_2082389_uploaded_image1_1588989025.jpg
Poulet Bleu hollandais,30000,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_2106379_uploaded_image1_1589378473.jpg
Poulet,3000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_2132014_uploaded_image1_1589793253.jpg
Pigeon lavande,35000,"Cambérène, Dakar, Sénégal",https://images.coinafrique.com/thumb_2203490_uploaded_image1_1590929887.jpg
Poulet Braman cochin,950000,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4050193_uploaded_image1_1673725687.jpg
Lapin nain,30000,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4865409_uploaded_image1_1722221284.jpg
Lapin nain,30000,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4865409_uploaded_image1_1722221284.jpg
Lapins Angora française,15000,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_2223516_uploaded_image1_1591222379.jpg
Poussin brahmane,12500,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2421069_uploaded_image1_1594340902.jpg
Poussin brahmane,12500,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2421069_uploaded_image1_1594340902.jpg
Couple bramane productrice,65000,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_2263150_uploaded_image1_1591826889.jpg
Culbita rakovni,40000,"Mermoz-Sacré-Cœur, Dakar, Sénégal",https://images.coinafrique.com/thumb_2270078_uploaded_image1_1591913628.5.jpeg
Coq Cochin,50000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4030997_uploaded_image1_1672682387.jpg
Poulets,2500,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4767951_uploaded_image1_1716976720.jpg
Lapin - lapereaux,20000,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_2297368_uploaded_image1_1592352689.jpg
Cauchoix pair,70000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2321095_uploaded_image1_1592725829.jpg
Poussins Brahmane blanc,10000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2321103_uploaded_image1_1592726101.jpg
Paon - pigeon,35000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2323541_uploaded_image1_1592764212.jpg
