Name,Price,Adress,img_link
Jument arabe,1500000,"Kébémer, Sénégal",https://images.coinafrique.com/thumb_2924412_uploaded_image1_1612197584.jpg
Perroquet Sénégal avec cage,35000,"Ngor, Dakar, Sénégal",https://images.coinafrique.com/thumb_2930350_uploaded_image1_1612388040.jpg
Oies de toulouse,450000,"Mbour, Sénégal",https://images.coinafrique.com/thumb_3413662_uploaded_image1_1635765247.jpg
Chaton Angora turque,160000,"Grand Dakar, Dakar, Sénégal",https://images.coinafrique.com/thumb_2966724_uploaded_image1_1614082274.jpg
Bouc,130000,"Mbour, Sénégal",https://images.coinafrique.com/thumb_2995656_uploaded_image1_1615445384.jpg
Porc,2500,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3004606_uploaded_image1_1615897391.jpg
Laor noir,35000,"Mbour, Sénégal",https://images.coinafrique.com/thumb_3005811_uploaded_image1_1615937465.jpg
Oie adulte,80000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3025291_uploaded_image1_1616933629.jpg
Oisillons,25000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3026572_uploaded_image1_1617014695.jpg
Taureau - géniteur laitier,2000000,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_3087054_uploaded_image1_1619718794.jpg
Chaton Siamois,200000,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4954184_uploaded_image1_1726867209.jpg
Taureau - géniteur laitier,2000000,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_3087054_uploaded_image1_1619718794.jpg
Couple perruche arc en ciel,40000,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_3092218_uploaded_image1_1619966133.jpg
Vache,300000,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_3095614_uploaded_image1_1620093462.jpg
Couple perruches ondulées,100000,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_3116528_uploaded_image1_1621091686.jpg
Oie géant,450000,"Mbour, Sénégal",https://images.coinafrique.com/thumb_3646953_uploaded_image1_1649560934.jpg
Boeuf,600000,"Bambey, Sénégal",https://images.coinafrique.com/thumb_4196106_uploaded_image1_1682881461.jpg
Dinde,45000,"Touba, Sénégal",https://images.coinafrique.com/thumb_4170236_uploaded_image1_1681079402.jpg
Cheval,450000,"Pikine, Sénégal",https://images.coinafrique.com/thumb_3169679_uploaded_image1_1623583685.jpg
Poussins  d’oies,35000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3569402_uploaded_image1_1644969388.jpg
Poussins  d’oies,35000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3569402_uploaded_image1_1644969388.jpg
Perruches ondulées,20000,"Point E, Dakar, Sénégal",https://images.coinafrique.com/thumb_4331659_uploaded_image1_1691773285.jpg
Perruches ondulées,20000,"Point E, Dakar, Sénégal",https://images.coinafrique.com/thumb_4331659_uploaded_image1_1691773285.jpg
Poisson Aquarium,8500,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4898597_uploaded_image1_1723887709.jpg
Taureau,740000,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_3269989_uploaded_image1_1628451897.jpg
Taureau,740000,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_3269989_uploaded_image1_1628451897.jpg
Taureau,450000,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_3271377_uploaded_image1_1628524523.jpg
Paire Oie,130000,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_3763969_uploaded_image1_1656542478.jpg
Boeuf,650000,"Grand Dakar, Dakar, Sénégal",https://images.coinafrique.com/thumb_3282945_uploaded_image1_1629127993.jpg
Chèvre,80000,"Thies, Sénégal",https://images.coinafrique.com/thumb_4387674_uploaded_image1_1695430824.jpg
Oie gardien,90000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3316810_uploaded_image1_1630785291.jpg
Oie guinéen,100000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3316816_uploaded_image1_1630785391.jpg
Veaux,250000,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_3350491_uploaded_image1_1632436028.jpg
Poussin caille,500,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_3576048_uploaded_image1_1645409801.jpg
Cailleteaux,400,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_3319946_uploaded_image1_1630948417.jpg
Perruches,30000,"Hann Bel-Air, Dakar, Sénégal",https://images.coinafrique.com/thumb_4194617_uploaded_image1_1682759209.jpg
Veaux,250000,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_3350491_uploaded_image1_1632436028.jpg
Perruches ondulées,12000,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_3968286_uploaded_image1_1668632770.jpg
Chaton Siamois,200000,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4954184_uploaded_image1_1726867209.jpg
Poisson d'aquarium,35000,Sénégal,https://images.coinafrique.com/thumb_863425_uploaded_image1_1566425287.55.png
Géniteur Holstein,2200000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3348819_uploaded_image1_1632352628.jpg
Taureaux Holstein,2500000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3348822_uploaded_image1_1632352988.jpg
Veaux,250000,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_3350491_uploaded_image1_1632436028.jpg
Autruchon,300000,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_3357168_uploaded_image1_1632871377.jpg
Cailles,2000,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_3405018_uploaded_image1_1635264107.jpg
Couple hermine,20000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3369362_uploaded_image1_1633438173.jpg
