Name,Price,Adress,img_link
Chiots rockweile,290000,"Mermoz-Sacré-Cœur, Dakar, Sénégal",https://images.coinafrique.com/thumb_2119461_uploaded_image1_1589565559.jpg
Chiot Rottweiler,250,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5004868_uploaded_image1_1729539442.jpg
Chiots bichons maltais femelles,150000,"Mamelles, Dakar, Sénégal",https://images.coinafrique.com/thumb_5042102_uploaded_image1_1731512419.jpg
Chien,65000,"Gibraltar, Dakar, Sénégal",https://images.coinafrique.com/thumb_2209275_uploaded_image1_1591023390.jpg
Chiot  Berger Allemand,200000,"Saint Louis, Sénégal",https://images.coinafrique.com/thumb_4296542_uploaded_image1_1689515237.jpg
Berger allemand pur sang,150000,"Point E, Dakar, Sénégal",https://images.coinafrique.com/thumb_2217470_uploaded_image1_1591135735.jpg
Berger allemand pur sang,150000,"Point E, Dakar, Sénégal",https://images.coinafrique.com/thumb_2217470_uploaded_image1_1591135735.jpg
Chiot Berger Allemand,500000,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5016564_uploaded_image1_1730217865.jpg
Chiots  Malinois,225000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4318517_uploaded_image1_1690980921.jpg
Chiot  Berger Allemand,200000,"Saint Louis, Sénégal",https://images.coinafrique.com/thumb_4296542_uploaded_image1_1689515237.jpg
Chiots Berger Allemand,250000,"Saint Louis, Sénégal",https://images.coinafrique.com/thumb_5013765_uploaded_image1_1730056659.jpg
Chiot Rottweiler,250,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5004868_uploaded_image1_1729539442.jpg
Berger Allemand femelle,250000,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_2300480_uploaded_image1_1592400668.jpg
Chiot Caniche,140000,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_4546796_uploaded_image1_1705343315.jpg
Chiots bichons maltais femelles,150000,"Mamelles, Dakar, Sénégal",https://images.coinafrique.com/thumb_5042102_uploaded_image1_1731512419.jpg
Chiot,100,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_3424026_uploaded_image3_1636184109.jpeg
Chiot Berger Allemand,200000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4970950_uploaded_image1_1727800187.jpg
Chiot yorkie,300000,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_2373725_uploaded_image1_1593562231.jpg
