web-scraper-order,web-scraper-start-url,containers,containers-href,Name,Price,Adress,img_link
"1732710831-24","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Prix sur demande","https://sn.coinafrique.com/annonce/autres-animaux/oies-toulouse-1428089","Oies toulouse","Prix sur demande","Fass, Dakar, Sénégal","https://images.coinafrique.com/thumb_1428089_uploaded_image1_1578172839.3.png"
"1732710834-25","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Prix sur demande","https://sn.coinafrique.com/annonce/autres-animaux/perruches-1441558","Perroquet","20 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_4141464_uploaded_image1_1679320795.jpg"
"1732710836-26","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Prix sur demande","https://sn.coinafrique.com/annonce/autres-animaux/perruches-1453830","Perruches ondulées","20 000 CFA","Point E, Dakar, Sénégal","https://images.coinafrique.com/thumb_4331659_uploaded_image1_1691773285.jpg"
"1732710839-27","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Prix sur demande","https://sn.coinafrique.com/annonce/autres-animaux/perruches-1453837","Perruches","Prix sur demande","Point E, Dakar, Sénégal","https://images.coinafrique.com/thumb_1453837_uploaded_image1_1578583493.67.png"
"1732710841-28","https://sn.coinafrique.com/categorie/autres-animaux?page=5","4 000CFA","https://sn.coinafrique.com/annonce/autres-animaux/biscuit-en-poudre-pour-betail-1459836","Biscuit en poudre pour betail","4 000 CFA","Patte d'oie, Dakar, Sénégal","https://images.coinafrique.com/thumb_1459836_uploaded_image1_1578670978.71.png"
"1732710844-29","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Prix sur demande","https://sn.coinafrique.com/annonce/autres-animaux/dindes-canards-et-colverts-1490889","Dindes - canards et colverts","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_1490889_uploaded_image1_1579188174.8.png"
"1732710846-30","https://sn.coinafrique.com/categorie/autres-animaux?page=5","700 000CFA","https://sn.coinafrique.com/annonce/autres-animaux/buf-1495773","","","",""
"1732710849-31","https://sn.coinafrique.com/categorie/autres-animaux?page=5","275 000CFA","https://sn.coinafrique.com/annonce/autres-animaux/vaches-1500655","Vache Montbéliard et Holstein","Prix sur demande","Rufisque, Sénégal","https://images.coinafrique.com/thumb_4753935_uploaded_image1_1716257776.jpg"
"1732710852-32","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Prix sur demande","https://sn.coinafrique.com/annonce/autres-animaux/couple-de-chevre-1521675","Couple de chèvre","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_1521675_uploaded_image1_1579700066.65.png"
"1732710857-33","https://sn.coinafrique.com/categorie/autres-animaux?page=5","750 000CFA","https://sn.coinafrique.com/annonce/autres-animaux/boeufs-1544433","Boeufs","750 000 CFA","Tambacounda, Sénégal","https://images.coinafrique.com/thumb_1544433_uploaded_image1_1580089804.86.png"
"1732710859-34","https://sn.coinafrique.com/categorie/autres-animaux?page=5","600 000CFA","https://sn.coinafrique.com/annonce/autres-animaux/buf-1606230","","","",""
"1732710862-35","https://sn.coinafrique.com/categorie/autres-animaux?page=5","350 000CFA","https://sn.coinafrique.com/annonce/autres-animaux/chat-siamois-1825906","Chat siamois","350 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_1825906_uploaded_image2_1584739800.55.png"
"1732710864-36","https://sn.coinafrique.com/categorie/autres-animaux?page=5","30 000CFA","https://sn.coinafrique.com/annonce/autres-animaux/dindon-rouge-1890125","Dindon rouge","30 000 CFA","Mermoz-Sacré-Cœur, Dakar, Sénégal","https://images.coinafrique.com/thumb_1890125_uploaded_image1_1585933665.81.png"
